idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/EisenbergM02,wgK6p4mDSIMJ,2,63690,2_63690
conf/vldb/AmmannJR95,x-H7BqZ0Hw8J,3,21171,3_21171
conf/vldb/SubietaKL95,gEFY87Ma0XUJ,7,38991,7_38991
journals/sigmod/BargaL02,QTzV3iNq2O8J,8,40746,8_40746
conf/vldb/MoserKK95,53hNU_r6-jgJ,10,35557,10_35557
conf/vldb/ChaudhuriGS95,77Sb5mlyASgJ,12,46614,12_46614
journals/sigmod/Kosch02,_avm808LQocJ,13,27627,13_27627
conf/vldb/LuTD95,qX-uYKXVk7EJ,14,49866,14_49866
conf/vldb/TreschPL95,1rPUqMFsS3AJ,16,3179,16_3179
conf/vldb/MehtaD95,xkvXoYlg2-cJ,18,35913,18_35913
conf/vldb/HaasNSS95,x70Y3qaTL40J,21,14199,21_14199
journals/sigmod/Aberer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,22,6685,22_6685
conf/vldb/FlodinR95,WmtiDGY_BdoJ,23,36538,23_36538
conf/vldb/HvasshovdTBH95,LVitsyrkl9AJ,25,32465,25_32465
conf/vldb/LuSL95,h7_7SZrI7M0J,27,49913,27_49913
journals/sigmod/ErdurD02,9OcrAEypDhMJ,28,60000,28_60000
conf/vldb/GallersdorferN95,U8jfPCxfXicJ,29,17753,29_17753
journals/sigmod/CiliaB02,Y1HVgTopekIJ,30,23455,30_23455
journals/sigmod/HummerLW02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507345%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,31,62916,31_62916
journals/sigmod/HummerLW02,W1IcM8IUwAEJ,31,27486,31_27486
conf/vldb/LometT95,7KawVN8Kj10J,32,28921,32_28921
conf/vldb/Wang95,7FUOWtSbiogJ,33,61219,33_61219
conf/vldb/SumiyaYTSI95,ZoMjwB0ps2kJ,35,55210,35_55210
journals/sigmod/HalkidiBV02,GHjgDrEbqM4J,38,11886,38_11886
journals/sigmod/PourabbasR02,QyNfyYDySawJ,39,60341,39_60341
conf/vldb/HoelS95,hwBMsP8-fXcJ,40,2552,40_2552
journals/sigmod/SlivinskasJS02,xTPSs2k_pUIJ,41,43603,41_43603
conf/vldb/BrownS95,F-v-VG2RBQoJ,42,2163,42_2163
conf/vldb/LeslieJBY95,zmwPMSd8rGgJ,44,63634,44_63634
conf/vldb/OrensteinK95,Trw6DEZeqTsJ,46,19246,46_19246
journals/sigmod/Wiegand02,RAcoVQuEzD8J,49,61163,49_61163
journals/sigmod/OrlandicLS02,eLf0eStn5G4J,51,36934,51_36934
conf/vldb/WienerN95,Y1lEnVPl6d8J,52,6362,52_6362
journals/sigmod/Fagin02,C3swZi1md5YJ,55,51445,55_51445
conf/vldb/GoyalHSS95,2sGH4SLcdL4J,57,13763,57_13763
journals/sigmod/LaenderRST02,paQAZ2KXFgAJ,58,20103,58_20103
conf/vldb/BestavrosB95,lGyhpsPV6ogJ,59,39873,59_39873
conf/vldb/MogiK95,39DBh8H18iEJ,63,22768,63_22768
journals/sigmod/Aberer02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,64,6685,64_6685
conf/vldb/JonscherD94,1R21hO7j9sQJ,66,36505,66_36505
journals/sigmod/YaoG02,ARLe7W8EvDoJ,67,14320,67_14320
conf/vldb/WienerN94,PrUWsoySLGcJ,72,37719,72_37719
journals/sigmod/Neven02,xAXF0HSF4h8J,74,12937,74_12937
journals/sigmod/WinslettCDHZZ02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601881%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,75,51637,75_51637
conf/vldb/BrownCC94,oayI0FKl-nQJ,76,25690,76_25690
conf/vldb/FuC94,ReboDjzo5y0J,78,59832,78_59832
conf/vldb/OuzzaniAB94,CgoUJ7DogcwJ,80,56168,80_56168
conf/vldb/FrohnLU94,xpreqF8k7N4J,81,25609,81_25609
conf/vldb/GutierrezPST94,VUU_DceCRXAJ,86,21825,86_21825
conf/vldb/KemperK94,qUfWV4VVxegJ,87,48632,87_48632
conf/vldb/BarjaPFWD94,qhl9_KGvjcUJ,91,62170,91_62170
journals/sigmod/LightstoneLZ02,7TYVQTwq9FIJ,92,15950,92_15950
conf/vldb/BaralisW94,q-td2YANr18J,94,7258,94_7258
conf/vldb/AgrawalS94,P0age7qyZacJ,96,7823,96_7823
conf/vldb/HaberIL95,UM1ZozyrJnIJ,98,13709,98_13709
journals/sigmod/GobleR02a,B-u4advaVBkJ,99,58347,99_58347
conf/vldb/AgrawalPWZ95,x_ykbVlfyP8J,100,41257,100_41257
conf/vldb/EvangelidisLS95,EbGZKQPyH_4J,102,21911,102_21911
journals/sigmod/FininJ02,rg8576nvnkUJ,106,53955,106_53955
journals/sigmod/SureSS02,v0tY6g0DHMcJ,107,24798,107_24798
conf/vldb/Brin95,dXegp-RmzXEJ,108,29303,108_29303
conf/vldb/SistlaYLL95,HtTNmhCJY-oJ,112,13852,112_13852
journals/sigmod/HalkidiBV02a,SFs0XOMPphIJ,113,16946,113_16946
conf/vldb/Vaskevitch95,s6Ax0WdZp6IJ,117,60634,117_60634
journals/sigmod/Aberer02b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,118,6685,118_6685
journals/sigmod/HuangKL02,yyUMt1X2WXcJ,119,23180,119_23180
conf/vldb/SimonD95,lLARMvKaIQMJ,120,45050,120_45050
conf/vldb/CatozziR95,8ftKLh07LM0J,121,17415,121_17415
journals/sigmod/Grohe02,jzwiskpRLOUJ,123,13572,123_13572
conf/vldb/Fecteau95,LhjvKpDcJKUJ,124,7407,124_7407
conf/vldb/Hallmark95,xTKZ6OuegIEJ,126,29458,126_29458
conf/vldb/Spintzik95,QcD01ZjsNcIJ,127,22159,127_22159
conf/vldb/AmielBDS94,hBak02oe1GMJ,129,36719,129_36719
journals/sigmod/HanBP01, ,130,56579,130_56579
journals/sigmod/Suciu01,_vOvQUzSV-gJ,131,11737,131_11737
journals/sigmod/Fankhauser01,_sltXCfRKhYJ,133,59684,133_59684
journals/sigmod/SchmidtWKFCMB01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603872%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,135,60817,135_60817
journals/sigmod/SchmidtWKFCMB01,fc8y9x82jqAJ,135,57345,135_57345
conf/vldb/LevyMS94,l-QHiSxClXcJ,136,16062,136_16062
journals/sigmod/Lomet01,fI5o4MfWwzIJ,137,24660,137_24660
conf/vldb/MohaniaS94,JORYEDHKYSMJ,140,58481,140_58481
conf/vldb/LiC94,O0rvK0GFmBEJ,141,14805,141_14805
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ,142,369,142_369
conf/vldb/IdrisGC94,Xf7TnMxlGTkJ,143,24167,143_24167
conf/vldb/FerrandinaMZ94,yQ2TMZ92GaIJ,146,36342,146_36342
conf/vldb/SetzerZ94,1tmW1mOCZqIJ,150,44664,150_44664
conf/vldb/GehaniJR94,MxYiwR2f9UYJ,151,40341,151_40341
conf/vldb/KilgerM94,OzgnxugGCWMJ,154,29910,154_29910
conf/vldb/SreenathS94,sUcJBJwvKTUJ,156,61427,156_61427
conf/vldb/HoelS94,Id1cvsQURBAJ,157,16245,157_16245
journals/sigmod/EisenbergM01,GKUflKzgAVEJ,158,62559,158_62559
conf/vldb/BrinkhoffK94,egvBPvtoaMMJ,160,28780,160_28780
journals/sigmod/ShahMFH01,7b-nJDMGtwUJ,161,22789,161_22789
conf/vldb/MuntzR94,o9DfGI9zsloJ,162,9744,162_9744
journals/sigmod/MeltonE01,619anaISuGEJ,163,12548,163_12548
conf/vldb/SteenhagenABB94,Xr2RguUzt-gJ,164,55082,164_55082
conf/vldb/ChakravarthyKAK94,L9eva_gsxrIJ,166,45469,166_45469
conf/vldb/OzdenBRS94,ARyxUwGOA10J,168,37102,168_37102
conf/vldb/Chiueh94,nOF-SuSEaaEJ,170,15513,170_15513
conf/vldb/DeWittKLPY94,cehAAlTq4s8J,171,48997,171_48997
journals/sigmod/ShethMKA01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604286%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,172,32201,172_32201
journals/sigmod/Cetintemel01,CAKcsKXFoCoJ,173,45432,173_45432
conf/vldb/SripadaW94,VqNz3sp638UJ,174,32224,174_32224
conf/vldb/ShatdalKN94,27-P8X0mjfcJ,175,22119,175_22119
conf/vldb/LevySSZ94,MtScC-fTWCEJ,177,31762,177_31762
journals/sigmod/BabuW01,KJ26gUP0PyIJ,178,29774,178_29774
journals/sigmod/Huyn01,KNYDz76C_HsJ,179,40404,179_40404
conf/vldb/GoodmanRS94,8CCHAKnGJ1EJ,180,1682,180_1682
conf/vldb/CochinwalaB94,Bp69wMYw9DAJ,181,63304,181_63304
journals/sigmod/ShanmugasundaramSKKVNT01,wTJy5XquCpsJ,182,37912,182_37912
conf/vldb/BernsteinD94,rNNtyNCgHLoJ,183,60497,183_60497
conf/vldb/IyerW94,5smJVUm1KAYJ,185,50975,185_50975
conf/vldb/RosenthalS94,NFUWsBXtCncJ,190,17439,190_17439
journals/sigmod/LabrinidisM01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603886%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,191,40928,191_40928
conf/vldb/Lesk94,nL5wl20jB-kJ,192,13723,192_13723
journals/sigmod/StolfoLCFE01,lvIPWxkN4YAJ,195,18711,195_18711
journals/sigmod/BarbaraCJW01,asukNMVeZZYJ,198,43998,198_43998
journals/sigmod/CabreraLM01,b201QeqnlNkJ,199,48993,199_48993
conf/sigmod/WangJLY03,EQsWWZdE45wJ,200,46951,200_46951
conf/vldb/MartinC94,Ur6-XAMj3tIJ,201,5321,201_5321
conf/vldb/YanA94,8j5i7YJQnNAJ,203,9764,203_9764
journals/sigmod/Cardelli01,UYAoi4DYOXUJ,204,8157,204_8157
journals/sigmod/LeeF01,oUisL_YUScYJ,209,35952,209_35952
conf/sigmod/FaginKS03,tQZWeE_nsa0J,210,33685,210_33685
journals/sigmod/SayginVC01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604271%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,211,47333,211_47333
conf/sigmod/ChaudhuriGS03,OFGtGwUHhUQJ,213,11069,213_11069
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
conf/sigmod/BenediktCFFR03,T5ZdpquqfJ0J,222,27356,222_27356
journals/sigmod/TianDCZ02,JceK-ywXk8UJ,226,36892,226_36892
conf/vldb/ChaudhuriS94, ,228,51549,228_51549
conf/vldb/MatthesS94,KRLEL-N4Ce8J,229,18637,229_18637
journals/sigmod/SommerGB02,8l5_eKZcCh8J,230,810,230_810
journals/sigmod/Cingil02,2K6rhX16hXwJ,231,14374,231_14374
conf/vldb/DavisonG94,fN8wW3Y4FJkJ,232,9033,232_9033
conf/vldb/GaasterlandL94,oIFrkS2rPrcJ,235,54260,235_54260
conf/vldb/LitwinNS94,SnkWnX5WoKwJ,237,44324,237_44324
journals/sigmod/Bussler02,Phcd3C1cfLcJ,238,52792,238_52792
journals/sigmod/BallMRZ02,Mfc9xsb7BuQJ,239,63576,239_63576
conf/vldb/ChawatheCY94,VPwP1w9wvhEJ,240,45051,240_45051
conf/vldb/SistlaYH94,FT4Sfn-Z7GUJ,242,4516,242_4516
conf/vldb/LuOT94,ZFXYXT4yEcAJ,244,38211,244_38211
conf/vldb/HjelsvoldM94,eyNcyx9rcFwJ,245,23484,245_23484
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
conf/vldb/PirotteZMY94,8s-SP8sAvQAJ,247,5138,247_5138
journals/sigmod/Suciu02,Ikk1rb4o66UJ,248,13104,248_13104
conf/vldb/NgY94,1O-Uy922LQUJ,250,51927,250_51927
conf/vldb/XieH94,7P8_zVPEW64J,253,28454,253_28454
journals/sigmod/Snodgrass02,_qopgNiYmXQJ,256,22558,256_22558
journals/sigmod/VassiliadisS99,eGARASwVBrUJ,257,25081,257_25081
journals/sigmod/JacobS99,3-iiSyJLwLkJ,259,50528,259_50528
conf/sigmod/WitkowskiBBDFGSS03,ygCe1xRFuKgJ,260,57246,260_57246
journals/sigmod/GatziuJSV99,HtqrJuo7GSsJ,264,29992,264_29992
conf/sigmod/WangPFY03,jpNXw9L7pxgJ,265,31771,265_31771
journals/sigmod/EisenbergM00,4mD1eFCHKKwJ,268,24355,268_24355
journals/sigmod/DongS00,gH_HDDJghbAJ,271,2206,271_2206
conf/sigmod/SchleimerWA03,nCRFjDfhOmcJ,272,10767,272_10767
journals/sigmod/CeriKKLOSV00,nLbW09uNfmsJ,275,22741,275_22741
conf/sigmod/GuptaLM03,iCg06Oc9DV8J,276,5480,276_5480
conf/sigmod/Ullman03,TabFkjNTLMsJ,281,38039,281_38039
journals/sigmod/BonifatiC00,XCdMiXLp41IJ,282,22936,282_22936
journals/sigmod/LiefkeS00,N0eowMtIAukJ,283,6852,283_6852
journals/sigmod/Vassilakis00,nZO8ZA4eYzYJ,285,12967,285_12967
conf/sigmod/Mamoulis03,8-eaDTdtfY4J,286,56525,286_56525
journals/sigmod/PourabbasR00,3y6y5AXu-j0J,287,62295,287_62295
conf/sigmod/ChengKP03,kSt-Pqp2ilYJ,289,53505,289_53505
conf/sigmod/OlstonJW03,D1h_jOHVyA4J,291,30276,291_30276
journals/sigmod/LabrinidisR00,Wcbvsi-QDtcJ,292,36427,292_36427
journals/sigmod/Palpanas00,MGG31wuhuUIJ,293,35073,293_35073
conf/sigmod/AbiteboulBCMM03,Rjb06zlxbLIJ,294,42505,294_42505
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ,296,56874,296_56874
conf/sigmod/ShenNSHS03,LjrsWIr3rhAJ,297,33631,297_33631
journals/sigmod/WestmannKHM00,9jyzas_rFd4J,298,51865,298_51865
conf/sigmod/BornhovdAKMPR03,7lPu8hBgKksJ,299,52273,299_52273
conf/sigmod/DeHaanTCO03,gyYBYgpB63sJ,301,41432,301_41432
conf/sigmod/CranorJSS03,nHesT9ADTdEJ,304,23613,304_23613
journals/sigmod/ArpinarD00,YQQMvRraFBwJ,307,2496,307_2496
conf/sigmod/SunAA03,wR6CGftUyH0J,308,2795,308_2795
conf/sigmod/ReissK03,L1m30vG-d5sJ,309,17059,309_17059
conf/sigmod/LiBKN03,micx2kyGfKIJ,315,37433,315_37433
conf/sigmod/PapadiasTFS03,MkRJhOROQjsJ,317,5601,317_5601
journals/sigmod/LeeC00,Knzz_bkGA00J,323,43006,323_43006
journals/sigmod/PoessF00,JSrjKrTM_3sJ,332,24020,332_24020
journals/sigmod/Bussche00,CER66z1lh0MJ,334,38464,334_38464
conf/sigmod/PadmanabhanBMCH03,wI75uFSs0bwJ,335,17260,335_17260
journals/sigmod/Halevy00,czgyMu7SHcgJ,337,53325,337_53325
conf/sigmod/KriegelBKPS03,i0c65loyE60J,338,32468,338_32468
conf/sigmod/KriegelBKPS03,tsqBH6P4jMcJ,338,23606,338_23606
journals/sigmod/RashidS00,e0GH54HirssJ,339,44136,339_44136
conf/sigmod/ChaudhuriKN03,ES6QyfgebIcJ,341,37781,341_37781
journals/sigmod/Jhingran00,lrGge6mTVckJ,342,16669,342_16669
conf/sigmod/KimC03,BWV2Oys1VXsJ,344,33084,344_33084
journals/sigmod/PossasMCR00,7szp78IyFdQJ,350,17953,350_17953
conf/sigmod/GangulyGR03,Di-EjDZ_abYJ,353,17022,353_17022
journals/sigmod/YuenCLL00,Ip82P4QfKyEJ,355,31360,355_31360
conf/sigmod/ChaudhuriGGM03,H5IdN0_MQw4J,356,37106,356_37106
conf/sigmod/KementsietsidisAM03,uCU2G94_fOIJ,357,45282,357_45282
journals/sigmod/BernsteinHP00,FFzJxlpy6TsJ,358,3673,358_3673
conf/sigmod/StoltePAG03,9WTNlminW6AJ,359,5547,359_5547
conf/sigmod/GuptaS03,6ditJPVnXAQJ,361,35223,361_35223
journals/sigmod/MillerHHYHFP01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D373713%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,367,60840,367_60840
conf/sigmod/MaddenFHH03,qz24tfFNHuoJ,368,21321,368_21321
journals/sigmod/BertinoEH01,Rba70P6SqQYJ,370,33915,370_33915
conf/sigmod/Dyreson03,l7KC1qG6OGEJ,373,1430,373_1430
conf/sigmod/ZhuS03,hIGjgc6mx0cJ,376,11354,376_11354
conf/sigmod/MelnikRB03,HhdW2CaIIZwJ,378,32550,378_32550
conf/sigmod/MelnikRB03,wfjeWtEY2NcJ,378,22343,378_22343
conf/sigmod/KangN03,ABztkd0E9lUJ,379,33713,379_33713
conf/sigmod/HeC03,MNmlxFx4l-8J,381,38534,381_38534
journals/sigmod/PuSW01,nkW4iN6JqfAJ,384,33212,384_33212
journals/sigmod/BernsteinBCDFGGHHJLMNPSU98,Syu5W-3uFFAJ,385,6663,385_6663
conf/sigmod/HacigumusILM02,NMgExE-JRD0J,387,59340,387_59340
journals/sigmod/MeltzerC98,77mq-gn4LiAJ,390,35294,390_35294
journals/sigmod/BichlerSZ98,fQNdA5cjapAJ,392,21996,392_21996
conf/sigmod/ZadorozhnyRVUB02,xmE1380_4E4J,395,6462,395_6462
journals/sigmod/EisenbergM98a,AatoNnELw78J,396,39144,396_39144
journals/sigmod/Ritter98,mzqmEYGGT_IJ,397,44153,397_44153
conf/sigmod/OlstonW02,pBKI-JCAlcIJ,398,2288,398_2288
conf/sigmod/KalnisNOPT02,ipAB8UMS7QkJ,401,7027,401_7027
journals/sigmod/ReichB98,HzOZXA_VJk8J,403,32708,403_32708
conf/sigmod/RiedewaldAA02,nQvBo5KHITYJ,404,61320,404_61320
journals/sigmod/JenningsNF98,YiZVv5kVDb4J,406,49414,406_49414
journals/sigmod/DogacDATKCD98,vG5FK8BJkZgJ,408,53688,408_53688
conf/sigmod/KornMZ03,6VAQeD6muakJ,413,842,413_842
journals/sigmod/Domingo-FerrerH98,ajq2idLfpHMJ,414,57485,414_57485
journals/sigmod/BuchnerM98,4J5CvdomBmsJ,415,48707,415_48707
journals/sigmod/BuchnerM98,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D306124%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,415,47029,415_47029
conf/sigmod/SengarH03,7Mtanhr8EKoJ,416,49339,416_49339
conf/sigmod/ZhuSZ03,7VSlB0yIt3YJ,420,46489,420_46489
conf/sigmod/ZhangDWEMPMDR03,gWslyEjd3BYJ,421,16412,421_16412
journals/sigmod/RoantreeMH99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310066%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,424,60861,424_60861
journals/sigmod/RoantreeMH99,JJK6WGPyubgJ,424,52448,424_52448
journals/sigmod/Danish98,mKZyoPZArGcJ,427,44894,427_44894
conf/sigmod/DeshpandeNGS03a,sfB17Fi4MZsJ,430,45192,430_45192
journals/sigmod/ForteHWDCVHFS99,7ML1mmPqIooJ,436,15808,436_15808
conf/sigmod/LakshmananPZ03a,4sJ3mLPGGVQJ,447,37621,447_37621
journals/sigmod/SycaraKWL99,YgouJdrCoZQJ,450,19730,450_19730
conf/sigmod/ShashaB02a,url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,451,64007,451_64007
journals/sigmod/PapazoglouH99,WbsAK4ZE17YJ,452,27649,452_27649
journals/sigmod/SouzaS99,lSJVvYYknn0J,453,32559,453_32559
conf/sigmod/ViglasN02,2aeb_pBP7lcJ,454,18746,454_18746
journals/sigmod/FowlerPNB99,OewAZ4AUDOQJ,456,46902,456_46902
conf/sigmod/HinneburgKW02,VWd7jhLXfV0J,458,56738,458_56738
journals/sigmod/CeriFP99,zCbDZVfxWhAJ,459,45995,459_45995
conf/sigmod/Bonnet02,bqyt1789jJ8J,462,6026,462_6026
journals/sigmod/DomenigD99,S6TMGRGUq1IJ,467,15222,467_15222
conf/sigmod/MaddenH02,NXakCefUcdUJ,468,57438,468_57438
conf/sigmod/AgrawalCD02,iABZEL2Zoz8J,469,38382,469_38382
conf/sigmod/AltinelLKMPLWB02,HtYTQ-fN8ccJ,475,54078,475_54078
conf/sigmod/DogacTPPLKTK02,wi8177RdPBYJ,481,44194,481_44194
journals/sigmod/ConradHHKRSS99,nmEhI0tiWGAJ,486,44261,486_44261
conf/sigmod/RaoZML02,c2PgXbSSAFcJ,488,7163,488_7163
journals/sigmod/BoulosO99,yzbCsw2erkcJ,489,12460,489_12460
journals/sigmod/RosenthalS99,c6lzPzSWbKAJ,491,27007,491_27007
journals/sigmod/RamDD99,uA-E1lBgLe0J,493,38769,493_38769
journals/sigmod/PapianiWDN99,HxmnEeCigX8J,495,59280,495_59280
conf/sigmod/BhattacharyaMBNHS02,tsQbSCfQTooJ,496,35638,496_35638
conf/sigmod/MoonWH02,rlfxeE4k2p4J,498,18119,498_18119
journals/sigmod/HansonN99,b5uRDGKYrcMJ,500,17490,500_17490
